Output,Width,Offset,Success
'choose:',e6fa891f004da81d214eb1b265e0277d,35.15625,4.6875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.15625,6.640625,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.15625,8.59375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.15625,10.546875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.546875,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.546875,-8.984375,False
'fchoose:',54b30791c4626eb0d9dfc82ee21f0842,35.546875,-7.03125,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.546875,-5.078125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,35.546875,-3.125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.546875,-1.171875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.546875,0.78125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.546875,2.734375,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.546875,4.6875,False
'choose:',e6fa891f004da81d214eb1b265e0277d,35.546875,6.640625,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.546875,8.59375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.546875,10.546875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.9375,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.9375,-8.984375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.9375,-7.03125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.9375,-5.078125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.9375,-3.125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,35.9375,-1.171875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.9375,0.78125,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.9375,2.734375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.9375,4.6875,False
'choose:',e6fa891f004da81d214eb1b265e0277d,35.9375,6.640625,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.9375,8.59375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.9375,10.546875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.328125,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.328125,-8.984375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.328125,-7.03125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.328125,-5.078125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.328125,-3.125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.328125,-1.171875,False
