Output,Hash,Ext. Offset,Offset,Width,Repeat,Success
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-1.171875,24.21875,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,0.78125,24.21875,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,2.734375,24.21875,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,4.6875,24.21875,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,6.640625,24.21875,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,8.59375,24.21875,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,10.546875,24.21875,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-10.9375,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-8.984375,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-7.03125,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-5.078125,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-3.125,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-1.171875,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,0.78125,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,2.734375,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,4.6875,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,6.640625,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,8.59375,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,10.546875,25.390625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-10.9375,26.5625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-8.984375,26.5625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-7.03125,26.5625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-5.078125,26.5625,11,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-3.125,26.5625,11,False
